race_id,date,jcd,venue,race_no,waku,reg_no,player_name,branch,age,grade,motor_no,boat_no,rank,result_time,course,st,payout,weather
202301010607,2023-01-01,06,浜名湖,7,6,6,6,,,,,,,,,,"勝式 組番 払戻金 人気 3連単 1 - 2 - 4 ¥1,900 6 3連複 1 = 2 = 4 ¥230 1 2連単 1 - 2 ¥1,090 5 2連複 1 = 2 ¥560 2 拡連複 1 = 2 ¥200 3 1 = 4 ¥100 1 2 = 4 ¥240 5 単勝 1 ¥130 複勝 1 ¥100 2 ¥140",水面気象情報 気温 11.0℃ 晴 風速 3m 水温 8.0℃ 波高 2cm スタンド
202301010608,2023-01-01,06,浜名湖,8,1,3,3,4,,,6,,,,,,勝式 組番 払戻金 人気 3連単 1 - 3 - 4 ¥480 1 3連複 1 = 3 = 4 ¥220 1 2連単 1 - 3 ¥230 1 2連複 1 = 3 ¥190 1 拡連複 1 = 3 ¥110 1 1 = 4 ¥120 2 3 = 4 ¥150 4 単勝 1 ¥180 複勝 1 ¥120 3 ¥130,水面気象情報 気温 11.0℃ 晴 風速 4m 水温 8.0℃ 波高 2cm スタンド
202301010608,2023-01-01,06,浜名湖,8,2,5,5,1,,,,,,,,,勝式 組番 払戻金 人気 3連単 1 - 3 - 4 ¥480 1 3連複 1 = 3 = 4 ¥220 1 2連単 1 - 3 ¥230 1 2連複 1 = 3 ¥190 1 拡連複 1 = 3 ¥110 1 1 = 4 ¥120 2 3 = 4 ¥150 4 単勝 1 ¥180 複勝 1 ¥120 3 ¥130,水面気象情報 気温 11.0℃ 晴 風速 4m 水温 8.0℃ 波高 2cm スタンド
202301010608,2023-01-01,06,浜名湖,8,3,1,1,2,,,6,,,,,,勝式 組番 払戻金 人気 3連単 1 - 3 - 4 ¥480 1 3連複 1 = 3 = 4 ¥220 1 2連単 1 - 3 ¥230 1 2連複 1 = 3 ¥190 1 拡連複 1 = 3 ¥110 1 1 = 4 ¥120 2 3 = 4 ¥150 4 単勝 1 ¥180 複勝 1 ¥120 3 ¥130,水面気象情報 気温 11.0℃ 晴 風速 4m 水温 8.0℃ 波高 2cm スタンド
202301010608,2023-01-01,06,浜名湖,8,4,1,1,,,,6,,,,,,勝式 組番 払戻金 人気 3連単 1 - 3 - 4 ¥480 1 3連複 1 = 3 = 4 ¥220 1 2連単 1 - 3 ¥230 1 2連複 1 = 3 ¥190 1 拡連複 1 = 3 ¥110 1 1 = 4 ¥120 2 3 = 4 ¥150 4 単勝 1 ¥180 複勝 1 ¥120 3 ¥130,水面気象情報 気温 11.0℃ 晴 風速 4m 水温 8.0℃ 波高 2cm スタンド
202301010608,2023-01-01,06,浜名湖,8,5,,,,,,,,,,,,勝式 組番 払戻金 人気 3連単 1 - 3 - 4 ¥480 1 3連複 1 = 3 = 4 ¥220 1 2連単 1 - 3 ¥230 1 2連複 1 = 3 ¥190 1 拡連複 1 = 3 ¥110 1 1 = 4 ¥120 2 3 = 4 ¥150 4 単勝 1 ¥180 複勝 1 ¥120 3 ¥130,水面気象情報 気温 11.0℃ 晴 風速 4m 水温 8.0℃ 波高 2cm スタンド
202301010608,2023-01-01,06,浜名湖,8,6,6,6,,,,6,,,,,,勝式 組番 払戻金 人気 3連単 1 - 3 - 4 ¥480 1 3連複 1 = 3 = 4 ¥220 1 2連単 1 - 3 ¥230 1 2連複 1 = 3 ¥190 1 拡連複 1 = 3 ¥110 1 1 = 4 ¥120 2 3 = 4 ¥150 4 単勝 1 ¥180 複勝 1 ¥120 3 ¥130,水面気象情報 気温 11.0℃ 晴 風速 4m 水温 8.0℃ 波高 2cm スタンド
202301010609,2023-01-01,06,浜名湖,9,1,,,,,,,,,,,,"勝式 組番 払戻金 人気 3連単 1 - 4 - 2 ¥840 3 3連複 1 = 2 = 4 ¥160 1 2連単 1 - 4 ¥530 2 2連複 1 = 4 ¥490 2 拡連複 1 = 4 ¥100 2 1 = 2 ¥100 1 2 = 4 ¥130 3 単勝 1 ¥1,490 複勝 1 ¥100 4 ¥100",水面気象情報 気温 11.0℃ 晴 風速 5m 水温 8.0℃ 波高 3cm スタンド
202301010609,2023-01-01,06,浜名湖,9,2,,,,,,,,,,,,"勝式 組番 払戻金 人気 3連単 1 - 4 - 2 ¥840 3 3連複 1 = 2 = 4 ¥160 1 2連単 1 - 4 ¥530 2 2連複 1 = 4 ¥490 2 拡連複 1 = 4 ¥100 2 1 = 2 ¥100 1 2 = 4 ¥130 3 単勝 1 ¥1,490 複勝 1 ¥100 4 ¥100",水面気象情報 気温 11.0℃ 晴 風速 5m 水温 8.0℃ 波高 3cm スタンド
202301010609,2023-01-01,06,浜名湖,9,3,1,1,4,,,,,,,,,"勝式 組番 払戻金 人気 3連単 1 - 4 - 2 ¥840 3 3連複 1 = 2 = 4 ¥160 1 2連単 1 - 4 ¥530 2 2連複 1 = 4 ¥490 2 拡連複 1 = 4 ¥100 2 1 = 2 ¥100 1 2 = 4 ¥130 3 単勝 1 ¥1,490 複勝 1 ¥100 4 ¥100",水面気象情報 気温 11.0℃ 晴 風速 5m 水温 8.0℃ 波高 3cm スタンド
